"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in CAD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks and shipping holdbacks."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","promotional rebates","promotional rebates tax","selling fees","fba fees","other transaction fees","other","total"
"Jan. 10, 2021 3:26:23 p.m. PST","13701774921","Order","702-3869989-2167442","SPBR-FR-2218-02","SWISS REIMAGINED Quick Release Spring Bar with Cylindrical Push Button for Watch Band (Set of Two) - 22mm x 1.8mm","2","amazon.ca","Amazon","Waskatenau","Alberta","T0A 3P0","","19.98","1.00","0","0","0","0","0","0","-4.00","-7.62","-0.03","0","9.33"
"Jan. 10, 2021 4:36:20 p.m. PST","13701774921","Refund","701-9722252-3517024","CA-6002-COG","CAPPIANO Mens Genuine Leather 6 Credit Card Minimalist Billfold Wallet| Slim Designer Credit Card Holder|Gift Boxed - Cognac","1","amazon.ca","Amazon","Toronto","Ontario","M4J3S4","","-16.99","-2.21","0","0","0","0","0","0","2.04","0","0","0","-17.16"
"Jan. 10, 2021 10:31:55 p.m. PST","13701774921","Order","702-9715979-4820258","SADDL-2060-UV","SADDLER Womens Real Leather Zip Top Coin Purse | Ladies Money Pouch | Gift Boxed - Purple","1","amazon.ca","Amazon","Gananoque","Ontario","K7G 2V4","","19.99","2.60","0","0","0","0","0","0","-3.00","-6.15","-0.08","0","13.36"
"Jan. 11, 2021 2:09:12 a.m. PST","13701774921","Adjustment","","SR-STR-20-CCD-ORG-PBLK","FBA Inventory Reimbursement - Damaged:Warehouse","1","","","","","","","0","0","0","0","0","0","0","0","0","0","0","10.90","10.90"
"Jan. 11, 2021 9:03:32 a.m. PST","13701774921","Order","702-0339974-0951417","SR-MT-001-BLK","SWISS REIMAGINED Precision 8-pc Set S2 Tool Steel Screwdriver Spring Bar Release Multipurpose Tool","1","amazon.ca","Amazon","Toronto","Ontario","M6R 1T3","","19.99","2.60","6.99","0.91","0","0","0","0","-3.00","-14.05","-0.10","0","13.34"
"Jan. 11, 2021 11:00:58 a.m. PST","13701774921","Order","702-0494565-1481818","SR-STR-20-CRFB-RED-BBLK","SWISS REIMAGINED 2 Colors Quality Genuine Leather Carbon Fibre Watch Band Strap Choice of Width 18mm 19mm 20mm 21mm 22mm 24mm (Choose Size)","1","amazon.ca","Amazon","Brampton","ON","L7A 4G4","","26.99","3.51","0","0","0","0","0","0","-4.32","-3.54","-0.10","0","22.54"
"Jan. 11, 2021 12:04:40 p.m. PST","13701774921","Order","702-4460964-7993012","SADDL-2503-BLK","SADDLER Mens Genuine Leather Compact Shirt Pocket Credit Card Wallet with ID Window | Gift Boxed","1","amazon.ca","Amazon","Pointe-Claire","Quebec","H9R 3Y6","","19.99","1.00","2.94","0","0","0","-2.94","0","-3.00","-6.15","-0.03","0","11.81"
"Jan. 11, 2021 2:36:10 p.m. PST","13701774921","Order","702-9477642-0518617","SPBR-FR-2018-02","SWISS REIMAGINED Quick Release Spring Bar with Cylindrical Push Button for Watch Band (Set of Two) - 20mm x 1.8mm","1","amazon.ca","Amazon","Surrey","British Columbia","V4N 5C5","","9.99","1.20","0","0","0","0","0","0","-2.00","-3.81","-0.03","0","5.35"
"Jan. 11, 2021 2:50:52 p.m. PST","13701774921","Order","702-8231442-7105068","SR-RAL-22-CRFB-BLK&RED-BBLK","SWISS REIMAGINED Real Leather Carbon Fibre Embossed Rally Style Watch Band Strap with Stainless Steel Buckle, Black Red","1","amazon.ca","Amazon","Montreal","Quebec","H3J 0B7","","32.99","1.65","5.72","0","0","0","-5.72","0","-5.28","-4.16","-0.05","0","25.15"
"Jan. 11, 2021 9:05:14 p.m. PST","13701774921","Order","702-4017515-4646654","SADDL-2203DD-BLK","SADDLER Womens Medium Leather Credit Card Coin Purse Wallet with Zip |Gift Boxed - Black","1","amazon.ca","Amazon","Toronto","Ontario","M4S 1K5","","22.99","2.99","2.15","0.28","0","0","0","0","-3.45","-8.58","-0.09","0","16.29"
